method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units
GRAND,16,1%,0.009229349330872173,0.009615384615384616,59,16,1.0,True,True,False,0.0,1.0855000255105551e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,0,6,0.1875,True,True,False,0.8125,6.768599996576086e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,0,19,0.59375,True,True,False,0.40625,1.3846000001649372e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,1,6,0.1875,True,True,False,0.8125,6.706400017719716e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,1,19,0.59375,True,True,False,0.40625,2.123200010828441e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,2,6,0.1875,False,False,False,0.0,0.0038597129996560398,120
GRAND,32,1%,0.009229349330872173,0.009615384615384616,2,19,0.59375,True,True,False,0.40625,2.219300040451344e-05,15
LDPC,32,1%,0.009229349330872173,0.009615384615384616,3,6,0.1875,False,False,False,0.0,0.0038404480001190677,120
GRAND,32,1%,0.009229349330872173,0.009615384615384616,3,19,0.59375,True,True,False,0.40625,0.00015203500061033992,457
LDPC,32,1%,0.009229349330872173,0.009615384615384616,4,6,0.1875,True,False,True,0.0,7.099799950083252e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,4,19,0.59375,True,True,False,0.40625,1.9002000044565648e-05,9
LDPC,32,1%,0.009229349330872173,0.009615384615384616,5,6,0.1875,True,True,False,0.8125,6.14159998804098e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,5,19,0.59375,True,True,False,0.40625,1.3252999451651704e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,6,6,0.1875,True,True,False,0.8125,5.9252999562886544e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,6,19,0.59375,True,True,False,0.40625,1.2499000149546191e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,7,6,0.1875,False,False,False,0.0,0.0038701630001014564,120
GRAND,32,1%,0.009229349330872173,0.009615384615384616,7,19,0.59375,True,True,False,0.40625,2.130599932570476e-05,11
LDPC,32,1%,0.009229349330872173,0.009615384615384616,8,6,0.1875,True,True,False,0.8125,6.618600036745192e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,8,19,0.59375,True,True,False,0.40625,1.2883999261248391e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,9,6,0.1875,True,True,False,0.8125,5.969499943603296e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,9,19,0.59375,True,True,False,0.40625,1.249999968422344e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,10,6,0.1875,True,True,False,0.8125,5.946000055701006e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,10,19,0.59375,True,True,False,0.40625,1.2411999705363996e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,11,6,0.1875,True,True,False,0.8125,5.89400005992502e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,11,19,0.59375,True,True,False,0.40625,1.238899949385086e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,12,6,0.1875,True,True,False,0.8125,5.889300064154668e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,12,19,0.59375,True,True,False,0.40625,1.2305999916861765e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,13,6,0.1875,True,True,False,0.8125,5.890200009162072e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,13,19,0.59375,True,True,False,0.40625,1.2217999938002322e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,14,6,0.1875,True,True,False,0.8125,5.795600009150803e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,14,19,0.59375,True,True,False,0.40625,1.2615999366971664e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,15,6,0.1875,True,True,False,0.8125,6.227599988051224e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,15,19,0.59375,True,True,False,0.40625,1.2387999959173612e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,16,6,0.1875,True,False,True,0.0,5.9517000408959575e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,16,19,0.59375,True,True,False,0.40625,2.4465000024065375e-05,28
LDPC,32,1%,0.009229349330872173,0.009615384615384616,17,6,0.1875,False,False,False,0.0,0.0038549319997400744,120
GRAND,32,1%,0.009229349330872173,0.009615384615384616,17,19,0.59375,True,True,False,0.40625,2.8184999791847076e-05,32
LDPC,32,1%,0.009229349330872173,0.009615384615384616,18,6,0.1875,True,True,False,0.8125,6.071999996493105e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,18,19,0.59375,True,True,False,0.40625,1.2771999536198564e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,19,6,0.1875,True,True,False,0.8125,5.9470999985933304e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,19,19,0.59375,True,True,False,0.40625,1.2542999684228562e-05,1
LDPC,32,1%,0.009229349330872173,0.009615384615384616,20,6,0.1875,True,True,False,0.8125,5.824999971082434e-05,1
GRAND,32,1%,0.009229349330872173,0.009615384615384616,20,19,0.59375,True,True,False,0.40625,1.2643999980355147e-05,1
