method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,budget
GRAND,16,1%,0.009229349330872173,0.009615384615384616,51,16,1.0,True,True,False,0.0,1.8749000446405262e-05,15,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,51,16,1.0,True,True,False,0.0,1.6924000192375388e-05,15,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,51,16,1.0,True,True,False,0.0,1.6352999409718905e-05,15,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,52,16,1.0,True,True,False,0.0,1.1125000128231477e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,52,16,1.0,True,True,False,0.0,1.0572000064712483e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,52,16,1.0,True,True,False,0.0,1.0155000381928403e-05,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,53,16,1.0,True,True,False,0.0,1.0836000001290813e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,53,16,1.0,True,True,False,0.0,1.0316000043530948e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,53,16,1.0,True,True,False,0.0,9.807999958866276e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,54,16,1.0,True,True,False,0.0,1.6633999621262774e-05,14,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,54,16,1.0,True,True,False,0.0,1.5921999874990433e-05,14,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,54,16,1.0,True,True,False,0.0,1.5309999980672728e-05,14,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,55,16,1.0,True,True,False,0.0,1.0370999916631263e-05,1,10000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,55,16,1.0,True,True,False,0.0,1.0002000635722652e-05,1,100000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,55,16,1.0,True,True,False,0.0,9.727000360726379e-06,1,1000000
GRAND,16,1%,0.009229349330872173,0.009615384615384616,56,16,1.0,True,True,False,0.0,1.0040999768534675e-05,1,10000
