method,n,qber_label,p_true,p_est,trial,leaked_bits,syndrome_rate,claimed_success,correct,undetected_error,net_key_fraction,time_s,work_units,variant,scheme
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,14,500,0.5,True,True,False,0.5,0.04083560000071884,9,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,14,500,0.5,True,True,False,0.5,0.03991460000179359,9,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,15,500,0.5,True,True,False,0.5,0.06007560000216472,15,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,15,500,0.5,True,True,False,0.5,0.04453129999819794,11,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,15,500,0.5,True,True,False,0.5,0.04316800000015064,11,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,16,500,0.5,True,True,False,0.5,0.035410699998465134,9,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,16,500,0.5,True,True,False,0.5,0.02431780000188155,8,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,16,500,0.5,True,True,False,0.5,0.02561769999738317,8,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,17,500,0.5,True,True,False,0.5,0.022415999999793712,7,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,17,500,0.5,True,True,False,0.5,0.02188410000235308,7,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,17,500,0.5,True,True,False,0.5,0.02086580000104732,7,aware-pipeline,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,18,500,0.5,True,True,False,0.5,0.021863099998881808,8,uniform,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,18,500,0.5,True,True,False,0.5,0.0212863999986439,8,aware-same-rate,A
LDPC,1000,6%,0.06617710212144637,0.06705539358600583,18,500,0.5,True,True,False,0.5,0.022570799999812152,8,aware-pipeline,A
